,text,date,author,author_level,mark,museum,avg_mark,num_reviews
0,"7 ноября решили посетить музей современного искусства ""Гараж"". Первый раз! Хорошая атмосфера, приятный персонал. Как говорится ""театр начинается с вешалки"", мы начали с гардероба, где нас встретил приветливый молодой человек, с которым мы любезно пообщались, о погоде и искусстве. Он аккуратно принял вещи, мы у него узнали где можно посидеть после выставки и он нам порекомендовал кафе на территории музея. Спасибо за такой отзывчивый персонал. Своеобразный музей, не все так однозначно, но понравилось. Очень культурное время препровождения!
ещё",8 ноября 2020,Мария К.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
1,"Лучшее место на планете Земля)) Безумно вкусный кофе, всегда вкусное основное и сезонное меню, интересные выставки, с возможностью бесплатного посещения в пятницу (правда сейчас акция приостановлена, да и музей закрыт на период пандемии). Классный книжный и сувенирный магазин.",8 декабря 2020,Евгения,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
2,"Модное место, но очень давно не было интересных выставок. После выставки Такаси Мураками не было запоминающихся и красивых выставок. Много совковой темы выставляется. + Всегда клёво оформлены выставки, а вот само содержание чаще разочаровывает( Классное кафе, но очень жаль, что из меню убрали Меренговый рулет. В любом случае приятно находится в такой атмосфере, все равно буду посещать. Но хотелось бы все таки выставок поинтереснее.
ещё",28 сентября 2020,Кама Шыныбекова,Знаток города 12 уровня,3,музей Гараж,"4,5",1061
3,"Здание снаружи немного страшненькое, но внутри всегда приятно находиться 
Расположение необычное, очень нравится ,хотя от метро далековато идти 
Цены не всегда адекватные, мало мерча от Гаража 
Хотелось бы больше мест для посетителей, где можно полежать, посидеть, почилить",4 ноября 2020,мила уманская,Знаток города 12 уровня,4,музей Гараж,"4,5",1061
4,"Отличное место для проведения досуга. Интересные выставки, где представлены инсталляции современных художников, уютное кафе, хороший книжный магазин. Обязательно к посещению.",7 февраля,Мария А.,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
5,"Классное место для проведения выходного дня. Если у вас есть карта постоянного клиента, то вы сможете подняться в уютный бар на крыше и заказать вкусные фирменные напитки (бар открыт только по воскресеньям). Также проходят образовательные программы, выставки современного искусства, действует ресторан и сувенирный магазин с книгами и приятными нужностями.
ещё",24 февраля,Жанна Карпенко,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
6,Прекрасный музей всем советую кто не был выставки которые дают задуматься книжный магазин с прекрасными книгами вкусная кафе в котором можно перекрасить после экскурсии недавно была выставка с водой ещё была огромная сеть из скучаю по которым могут полазить дети я тоже Лазила очень крутое место не опишешь в одном отзыве,26 ноября 2020,Лиза,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
7,"Впечатление от музея очень плохое. Причем даже не от выставок, они как раз разные, а от отношения персонала и того, как все в гараже устроено.
Такого количества персонала, который будет следить за тобой я не видел нигде. Причем смотрители, будут просто ходить за тобой попятам мешая осматривать экспозиции. Гараж - первый музей, в котором я был, где некомфортно находиться не из-за количества посетителей, а из-за персонала.
Отдельного упоминания заслуживает совершенно идиотская система с карточками ""гараж"". Даже купив и активировав карточку ты должен получать билет на кассе. Причем билет у вас будут спрашивать постоянно. Подняться на крышу можно только по карте, но туда опять нужен билет, который нужно получить на первом этаже. Это ужас.
В других приличных музеях уже давно работают системы распознавания лиц и контроль проходит в автоматическом режиме, то здесь... как в 80-ые...
Вобщем от современно музея здесь только здание. А вот отношение к посетителям мерзкое. Очень разочарован.
Очень жалко, что карту ""постоянного посетителя"" сдать нельзя, т.к. посещать вас больше не намерен и никому не советую.
ещё",8 ноября 2020,visa P.,Знаток города 3 уровня,1,музей Гараж,"4,5",1061
8,"Друзья, был в данном музее не так давно и могу сказать вот что. Сами по себе экспозиции и картины интересные, но иногда встречаются экспонаты не совсем понятные простому обывателю, к коим я себя отношу. Но может кому-то такое нравится и он получает настоящий экстаз, но я такое не совсем понимаю. В целом неплохо. Но кафе, которое там расположено, не блещит выбором и ценовая политика слегка завышена. Для обычного человека, который просто зашёл насладиться современным искусством, это дороговато.
ещё",17 октября 2020,Александр Сотников,Знаток города 4 уровня,4,музей Гараж,"4,5",1061
9,"Был на выставке ""Красивая ночь""
Понравилось: баки, цветы из дерева, маски, газон в виде человека с торчащим из него деревцем, забавные подделки из старых игрушек, статуи из микросхем и всякой электроники, портрет брюса ли, картина с баром.

Кафе: вкусно. Латте - 380 руб.

Не понравилось:
Обилие охраны. Около каждой группы экспонатов поставили по охраннику. Охранники стоят у вас над душой и смотрят, чтобы вы чего-нибудь не сп****ли или не сломали. Это напрягает, сложно сконцентрироваться на картинах.

Озвучивание правил поведения при входе. Вам расскажут, что:
нельзя трогать экспонаты руками, входить с напитками (я был без напитка) и не снимать маску (я был в маске). Первый раз такое встречаю в музеях. Чувствовал себя нелепо.
ещё",7 февраля,Антон К.,Знаток города 6 уровня,4,музей Гараж,"4,5",1061
